dx_cd,icd_code,icd_type,icd_desc
17341,173.41,1.0,BASAL CELL CARCINOMA OF SCALP AND SKIN OF NECK
2001,200.1,1.0,LYMPHOSARCOMA
20042,200.42,1.0,"MANTLE CELL LYMPHOMA, INTRATHORACIC LYMPH NODES"
20970,209.70,1.0,"SECONDARY NEUROENDOCRINE TUMOR, UNSPECIFIED SITE"
S42002D,S42.002D,2.0,"FRACTURE OF UNSPECIFIED PART OF LEFT CLAVICLE, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING"
S42151S,S42.151S,2.0,"DISPLACED FRACTURE OF NECK OF SCAPULA, RIGHT SHOULDER, SEQUELA"
S42352B,S42.352B,2.0,"DISPLACED COMMINUTED FRACTURE OF SHAFT OF HUMERUS, LEFT ARM, INITIAL ENCOUNTER FOR OPEN FRACTURE"
S4292XS,S42.92XS,2.0,"FRACTURE OF LEFT SHOULDER GIRDLE, PART UNSPECIFIED, SEQUELA"
S43013A,S43.013A,2.0,"ANTERIOR SUBLUXATION OF UNSPECIFIED HUMERUS, INITIAL ENCOUNTER"
S46091D,S46.091D,2.0,"OTHER INJURY OF MUSCLE(S) AND TENDON(S) OF THE ROTATOR CUFF OF RIGHT SHOULDER, SUBSEQUENT ENCOUNTER"
S04012A,S04.012A,2.0,"INJURY OF OPTIC NERVE, LEFT EYE, INITIAL ENCOUNTER"
S04819A,S04.819A,2.0,"INJURY OF OLFACTORY [1ST ] NERVE, UNSPECIFIED SIDE, INITIAL ENCOUNTER"
S065X1A,S06.5X1A,2.0,"TRAUMATIC SUBDURAL HEMORRHAGE WITH LOSS OF CONSCIOUSNESS OF 30 MINUTES OR LESS, INITIAL ENCOUNTER"
S2191XS,S21.91XS,2.0,"LACERATION WITHOUT FOREIGN BODY OF UNSPECIFIED PART OF THORAX, SEQUELA"
S2231XA,S22.31XA,2.0,"FRACTURE OF ONE RIB, RIGHT SIDE, INITIAL ENCOUNTER FOR CLOSED FRACTURE"
7249,724.9,1.0,OTHER UNSPECIFIED BACK DISORDERS
74251,742.51,1.0,DIASTEMATOMYELIA
74352,743.52,1.0,FUNDUS COLOBOMA
E500,E50.0,2.0,VITAMIN A DEFICIENCY WITH CONJUNCTIVAL XEROSIS
E8330,E83.30,2.0,"DISORDER OF PHOSPHORUS METABOLISM, UNSPECIFIED"
F10129,F10.129,2.0,"ALCOHOL ABUSE WITH INTOXICATION, UNSPECIFIED"
F688,F68.8,2.0,OTHER SPECIFIED DISORDERS OF ADULT PERSONALITY AND BEHAVIOR
F79,F79,2.0,UNSPECIFIED INTELLECTUAL DISABILITIES
S76212S,S76.212S,2.0,"STRAIN OF ADDUCTOR MUSCLE, FASCIA AND TENDON OF LEFT THIGH, SEQUELA"
S82142A,S82.142A,2.0,"DISPLACED BICONDYLAR FRACTURE OF LEFT TIBIA, INITIAL ENCOUNTER FOR CLOSED FRACTURE"
S82832D,S82.832D,2.0,"OTHER FRACTURE OF UPPER AND LOWER END OF LEFT FIBULA, SUBSEQUENT ENCOUNTER FOR CLOSED FRACTURE WITH ROUTINE HEALING"
J0380,J03.80,2.0,ACUTE TONSILLITIS DUE TO OTHER SPECIFIED ORGANISMS
J0381,J03.81,2.0,ACUTE RECURRENT TONSILLITIS DUE TO OTHER SPECIFIED ORGANISMS
J632,J63.2,2.0,BERYLLIOSIS
J95830,J95.830,2.0,POSTPROCEDURAL HEMORRHAGE OF A RESPIRATORY SYSTEM ORGAN OR STRUCTURE FOLLOWING A RESPIRATORY SYSTEM PROCEDURE
K9081,K90.81,2.0,WHIPPLE'S DISEASE
L119,L11.9,2.0,"ACANTHOLYTIC DISORDER, UNSPECIFIED"
N3030,N30.30,2.0,TRIGONITIS WITHOUT HEMATURIA
N6341,N63.41,2.0,"UNSPECIFIED LUMP IN RIGHT BREAST, SUBAREOLAR"
N829,N82.9,2.0,"FEMALE GENITAL TRACT FISTULA, UNSPECIFIED"
O26832,O26.832,2.0,"PREGNANCY RELATED RENAL DISEASE, SECOND TRIMESTER"
O368220,O36.8220,2.0,"FETAL ANEMIA AND THROMBOCYTOPENIA, SECOND TRIMESTER, NOT APPLICABLE OR UNSPECIFIED"
N6042,N60.42,2.0,MAMMARY DUCT ECTASIA OF LEFT BREAST
N6099,N60.99,2.0,UNSPECIFIED BENIGN MAMMARY DYSPLASIA OF UNSPECIFIED BREAST
O2221,O22.21,2.0,"SUPERFICIAL THROMBOPHLEBITIS IN PREGNANCY, FIRST TRIMESTER"
O2693,O26.93,2.0,"PREGNANCY RELATED CONDITIONS, UNSPECIFIED, THIRD TRIMESTER"
O355XX1,O35.5XX1,2.0,"MATERNAL CARE FOR (SUSPECTED) DAMAGE TO FETUS BY DRUGS, FETUS 1"
O99333,O99.333,2.0,"SMOKING (TOBACCO) COMPLICATING PREGNANCY, THIRD TRIMESTER"
T2103XA,T21.03XA,2.0,"BURN OF UNSPECIFIED DEGREE OF UPPER BACK, INITIAL ENCOUNTER"
G909,G90.9,2.0,"DISORDER OF THE AUTONOMIC NERVOUS SYSTEM, UNSPECIFIED"
G9761,G97.61,2.0,POSTPROCEDURAL HEMATOMA OF A NERVOUS SYSTEM ORGAN OR STRUCTURE FOLLOWING A NERVOUS SYSTEM PROCEDURE
H01132,H01.132,2.0,ECZEMATOUS DERMATITIS OF RIGHT LOWER EYELID
H02403,H02.403,2.0,UNSPECIFIED PTOSIS OF BILATERAL EYELIDS
H27139,H27.139,2.0,"POSTERIOR DISLOCATION OF LENS, UNSPECIFIED EYE"
H30141,H30.141,2.0,"ACUTE POSTERIOR MULTIFOCAL PLACOID PIGMENT EPITHELIOPATHY, RIGHT EYE"
H348191,H34.8191,2.0,"CENTRAL RETINAL VEIN OCCLUSION, UNSPECIFIED EYE, WITH RETINAL NEOVASCULARIZATION"
H34833,H34.833,2.0,"TRIBUTARY (BRANCH) RETINAL VEIN OCCLUSION, BILATERAL"
H36,H36,2.0,RETINAL DISORDERS IN DISEASES CLASSIFIED ELSEWHERE
S86019D,S86.019D,2.0,"STRAIN OF UNSPECIFIED ACHILLES TENDON, SUBSEQUENT ENCOUNTER"
S92242A,S92.242A,2.0,"DISPLACED FRACTURE OF MEDIAL CUNEIFORM OF LEFT FOOT, INITIAL ENCOUNTER FOR CLOSED FRACTURE"
L97814,L97.814,2.0,NON-PRESSURE CHRONIC ULCER OF OTHER PART OF RIGHT LOWER LEG WITH NECROSIS OF BONE
M00071,M00.071,2.0,"STAPHYLOCOCCAL ARTHRITIS, RIGHT ANKLE AND FOOT"
M06832,M06.832,2.0,"OTHER SPECIFIED RHEUMATOID ARTHRITIS, LEFT WRIST"
M109,M10.9,2.0,"GOUT, UNSPECIFIED"
M11219,M11.219,2.0,"OTHER CHONDROCALCINOSIS, UNSPECIFIED SHOULDER"
M13151,M13.151,2.0,"MONOARTHRITIS, NOT ELSEWHERE CLASSIFIED, RIGHT HIP"
T23279A,T23.279A,2.0,"BURN OF SECOND DEGREE OF UNSPECIFIED WRIST, INITIAL ENCOUNTER"
T39394D,T39.394D,2.0,"POISONING BY OTHER NONSTEROIDAL ANTI-INFLAMMATORY DRUGS [NSAID], UNDETERMINED, SUBSEQUENT ENCOUNTER"
T400X5,T40.0X5,2.0,ADVERSE EFFECT OF OPIUM
T454X1D,T45.4X1D,2.0,"POISONING BY IRON AND ITS COMPOUNDS, ACCIDENTAL (UNINTENTIONAL), SUBSEQUENT ENCOUNTER"
T50905S,T50.905S,2.0,"ADVERSE EFFECT OF UNSPECIFIED DRUGS, MEDICAMENTS AND BIOLOGICAL SUBSTANCES, SEQUELA"
Q111,Q11.1,2.0,OTHER ANOPHTHALMOS
Q2730,Q27.30,2.0,"ARTERIOVENOUS MALFORMATION, SITE UNSPECIFIED"
Q71891,Q71.891,2.0,OTHER REDUCTION DEFECTS OF RIGHT UPPER LIMB
R278,R27.8,2.0,OTHER LACK OF COORDINATION
R419,R41.9,2.0,UNSPECIFIED SYMPTOMS AND SIGNS INVOLVING COGNITIVE FUNCTIONS AND AWARENESS
R87616,R87.616,2.0,SATISFACTORY CERVICAL SMEAR BUT LACKING TRANSFORMATION ZONE
R87625,R87.625,2.0,UNSATISFACTORY CYTOLOGIC SMEAR OF VAGINA
Q261,Q26.1,2.0,PERSISTENT LEFT SUPERIOR VENA CAVA
Q282,Q28.2,2.0,ARTERIOVENOUS MALFORMATION OF CEREBRAL VESSELS
Q6689,Q66.89,2.0,OTHER SPECIFIED CONGENITAL DEFORMITIES OF FEET
Q762,Q76.2,2.0,CONGENITAL SPONDYLOLISTHESIS
R0601,R06.01,2.0,ORTHOPNEA
R1012,R10.12,2.0,LEFT UPPER QUADRANT PAIN
R10824,R10.824,2.0,LEFT LOWER QUADRANT REBOUND ABDOMINAL TENDERNESS
R4182,R41.82,2.0,"ALTERED MENTAL STATUS, UNSPECIFIED"
R4702,R47.02,2.0,DYSPHASIA
R784,R78.4,2.0,FINDING OF OTHER DRUGS OF ADDICTIVE POTENTIAL IN BLOOD
E11641,E11.641,2.0,TYPE 2 DIABETES MELLITUS WITH HYPOGLYCEMIA WITH COMA
E288,E28.8,2.0,OTHER OVARIAN DYSFUNCTION
E8669,E866.9,1.0,ACCIDENTAL POISONING BY UNSPECIFIED SOLID OR LIQUID SUBSTANCE
E9300,E930.0,1.0,PENICILLINS CAUSING ADVERSE EFFECTS IN THERAPEUTIC USE
F1097,F10.97,2.0,"ALCOHOL USE, UNSPECIFIED WITH ALCOHOL-INDUCED PERSISTING DEMENTIA"
F2089,F20.89,2.0,OTHER SCHIZOPHRENIA
G1223,G12.23,2.0,PRIMARY LATERAL SCLEROSIS
07952,079.52,1.0,"HUMAN T-CELL LYMPHOTROPHIC VIRUS, TYPE II [HTLV-II]"
20083,200.83,1.0,OTHER NAMED VARIANTS OF LYMPHOSARCOMA AND RETICULOSARCOMA INVOLVING INTRA-ABDOMINAL LYMPH NODES
20224,202.24,1.0,SEZARY'S DISEASE INVOLVING LYMPH NODES OF AXILLA AND UPPER LIMB
20502,205.02,1.0,"ACUTE MYELOID LEUKEMIA, IN RELAPSE"
2129,212.9,1.0,"BENIGN NEOPLASM OF RESPIRATORY AND INTRATHORACIC ORGANS, SITE UNSPECIFIED"
S0592XD,S05.92XD,2.0,"UNSPECIFIED INJURY OF LEFT EYE AND ORBIT, SUBSEQUENT ENCOUNTER"
72989,729.89,1.0,OTHER MUSCULOSKELETAL SYMPTOMS REFERABLE TO LIMBS
73018,730.18,1.0,CHRONIC OSTEOMYELITIS INVOLVING OTHER SPECIFIED SITES
73642,736.42,1.0,GENU VARUM (ACQUIRED)
7505,750.5,1.0,CONGENITAL HYPERTROPHIC PYLORIC STENOSIS
7677,767.7,1.0,OTHER CRANIAL AND PERIPHERAL NERVE INJURIES DUE TO BIRTH TRAUMA
78009,780.09,1.0,"ALTERATION OF CONSCIOUSNESS, OTHER"
78903,789.03,1.0,"ABDOMINAL PAIN, RIGHT LOWER QUADRANT"
G464,G46.4,2.0,CEREBELLAR STROKE SYNDROME
G4710,G47.10,2.0,"HYPERSOMNIA, UNSPECIFIED"
G5691,G56.91,2.0,UNSPECIFIED MONONEUROPATHY OF RIGHT UPPER LIMB
G5722,G57.22,2.0,"LESION OF FEMORAL NERVE, LEFT LOWER LIMB"
H02203,H02.203,2.0,"UNSPECIFIED LAGOPHTHALMOS RIGHT EYE, UNSPECIFIED EYELID"
H10439,H10.439,2.0,"CHRONIC FOLLICULAR CONJUNCTIVITIS, UNSPECIFIED EYE"
H16061,H16.061,2.0,"MYCOTIC CORNEAL ULCER, RIGHT EYE"
H26233,H26.233,2.0,"GLAUCOMATOUS FLECKS (SUBCAPSULAR), BILATERAL"
H33043,H33.043,2.0,"RETINAL DETACHMENT WITH RETINAL DIALYSIS, BILATERAL"
H353112,H35.3112,2.0,"NONEXUDATIVE AGE-RELATED MACULAR DEGENERATION, RIGHT EYE, INTERMEDIATE DRY STAGE"
34403,344.03,1.0,"QUADRIPLEGIA, C5-C7, COMPLETE"
35830,358.30,1.0,"LAMBERT-EATON SYNDROME, UNSPECIFIED"
Z5989,Z59.89,2.0,OTHER PROBLEMS RELATED TO HOUSING AND ECONOMIC CIRCUMSTANCES
Z6838,Z68.38,2.0,"BODY MASS INDEX [BMI] 38.0-38.9, ADULT"
S42001K,S42.001K,2.0,"FRACTURE OF UNSPECIFIED PART OF RIGHT CLAVICLE, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH NONUNION"
S42362D,S42.362D,2.0,"DISPLACED SEGMENTAL FRACTURE OF SHAFT OF HUMERUS, LEFT ARM, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING"
S43492S,S43.492S,2.0,"OTHER SPRAIN OF LEFT SHOULDER JOINT, SEQUELA"
S4352XS,S43.52XS,2.0,"SPRAIN OF LEFT ACROMIOCLAVICULAR JOINT, SEQUELA"
K51219,K51.219,2.0,ULCERATIVE (CHRONIC) PROCTITIS WITH UNSPECIFIED COMPLICATIONS
K7689,K76.89,2.0,OTHER SPECIFIED DISEASES OF LIVER
K8012,K80.12,2.0,CALCULUS OF GALLBLADDER WITH ACUTE AND CHRONIC CHOLECYSTITIS WITHOUT OBSTRUCTION
K8301,K83.01,2.0,PRIMARY SCLEROSING CHOLANGITIS
L03114,L03.114,2.0,CELLULITIS OF LEFT UPPER LIMB
L103,L10.3,2.0,BRAZILIAN PEMPHIGUS [FOGO SELVAGEM]
L649,L64.9,2.0,"ANDROGENIC ALOPECIA, UNSPECIFIED"
3152,315.2,1.0,OTHER SPECIFIC DEVELOPMENTAL LEARNING DIFFICULTIES
32711,327.11,1.0,IDIOPATHIC HYPERSOMNIA WITH LONG SLEEP TIME
3484,348.4,1.0,COMPRESSION OF BRAIN
3577,357.7,1.0,POLYNEUROPATHY DUE TO OTHER TOXIC AGENTS
35971,359.71,1.0,INCLUSION BODY MYOSITIS
36652,366.52,1.0,"OTHER AFTER-CATARACT, NOT OBSCURING VISION"
36722,367.22,1.0,IRREGULAR ASTIGMATISM
36842,368.42,1.0,SCOTOMA OF BLIND SPOT AREA
37212,372.12,1.0,CHRONIC FOLLICULAR CONJUNCTIVITIS
O283,O28.3,2.0,ABNORMAL ULTRASONIC FINDING ON ANTENATAL SCREENING OF MOTHER
S66306A,S66.306A,2.0,"UNSPECIFIED INJURY OF EXTENSOR MUSCLE, FASCIA AND TENDON OF RIGHT LITTLE FINGER AT WRIST AND HAND LEVEL, INITIAL ENCOUNTER"
S66821A,S66.821A,2.0,"LACERATION OF OTHER SPECIFIED MUSCLES, FASCIA AND TENDONS AT WRIST AND HAND LEVEL, RIGHT HAND, INITIAL ENCOUNTER"
S72451C,S72.451C,2.0,"DISPLACED SUPRACONDYLAR FRACTURE WITHOUT INTRACONDYLAR EXTENSION OF LOWER END OF RIGHT FEMUR, INITIAL ENCOUNTER FOR OPEN FRACTURE TYPE IIIA, IIIB, OR IIIC"
S73004A,S73.004A,2.0,"UNSPECIFIED DISLOCATION OF RIGHT HIP, INITIAL ENCOUNTER"
S45111A,S45.111A,2.0,"LACERATION OF BRACHIAL ARTERY, RIGHT SIDE, INITIAL ENCOUNTER"
S51839A,S51.839A,2.0,"PUNCTURE WOUND WITHOUT FOREIGN BODY OF UNSPECIFIED FOREARM, INITIAL ENCOUNTER"
S52136D,S52.136D,2.0,"NONDISPLACED FRACTURE OF NECK OF UNSPECIFIED RADIUS, SUBSEQUENT ENCOUNTER FOR CLOSED FRACTURE WITH ROUTINE HEALING"
S52291G,S52.291G,2.0,"OTHER FRACTURE OF SHAFT OF RIGHT ULNA, SUBSEQUENT ENCOUNTER FOR CLOSED FRACTURE WITH DELAYED HEALING"
S52571A,S52.571A,2.0,"OTHER INTRAARTICULAR FRACTURE OF LOWER END OF RIGHT RADIUS, INITIAL ENCOUNTER FOR CLOSED FRACTURE"
S53101A,S53.101A,2.0,"UNSPECIFIED SUBLUXATION OF RIGHT ULNOHUMERAL JOINT, INITIAL ENCOUNTER"
P0700,P07.00,2.0,"EXTREMELY LOW BIRTH WEIGHT NEWBORN, UNSPECIFIED WEIGHT"
Q060,Q06.0,2.0,AMYELIA
Q5039,Q50.39,2.0,OTHER CONGENITAL MALFORMATION OF OVARY
Q524,Q52.4,2.0,OTHER CONGENITAL MALFORMATIONS OF VAGINA
R2990,R29.90,2.0,UNSPECIFIED SYMPTOMS AND SIGNS INVOLVING THE NERVOUS SYSTEM
R448,R44.8,2.0,OTHER SYMPTOMS AND SIGNS INVOLVING GENERAL SENSATIONS AND PERCEPTIONS
S00412A,S00.412A,2.0,"ABRASION OF LEFT EAR, INITIAL ENCOUNTER"
83402,834.02,1.0,"CLOSED DISLOCATION OF INTERPHALANGEAL (JOINT), HAND"
83806,838.06,1.0,"CLOSED DISLOCATION OF INTERPHALANGEAL (JOINT), FOOT"
85196,851.96,1.0,"OTHER AND UNSPECIFIED CEREBRAL LACERATION AND CONTUSION, WITH OPEN INTRACRANIAL WOUND, WITH LOSS OF CONSCIOUSNESS OF UNSPECIFIED DURATION"
85302,853.02,1.0,"OTHER AND UNSPECIFIED INTRACRANIAL HEMORRHAGE FOLLOWING INJURY, WITHOUT MENTION OF OPEN INTRACRANIAL WOUND, WITH BRIEF (LESS THAN ONE HOUR) LOSS OF CONSCIOUSNESS"
9220,922.0,1.0,CONTUSION OF BREAST
94503,945.03,1.0,BURN OF UNSPECIFIED DEGREE OF ANKLE
T80A11A,T80.A11A,2.0,"NON-ABO INCOMPATIBILITY WITH DELAYED HEMOLYTIC TRANSFUSION REACTION, INITIAL ENCOUNTER"
S06305S,S06.305S,2.0,"UNSPECIFIED FOCAL TRAUMATIC BRAIN INJURY WITH LOSS OF CONSCIOUSNESS GREATER THAN 24 HOURS WITH RETURN TO PRE-EXISTING CONSCIOUS LEVEL, SEQUELA"
S0993XD,S09.93XD,2.0,"UNSPECIFIED INJURY OF FACE, SUBSEQUENT ENCOUNTER"
S1190XS,S11.90XS,2.0,"UNSPECIFIED OPEN WOUND OF UNSPECIFIED PART OF NECK, SEQUELA"
S81011A,S81.011A,2.0,"LACERATION WITHOUT FOREIGN BODY, RIGHT KNEE, INITIAL ENCOUNTER"
S82025D,S82.025D,2.0,"NONDISPLACED LONGITUDINAL FRACTURE OF LEFT PATELLA, SUBSEQUENT ENCOUNTER FOR CLOSED FRACTURE WITH ROUTINE HEALING"
T84011S,T84.011S,2.0,"BROKEN INTERNAL LEFT HIP PROSTHESIS, SEQUELA"
T8741,T87.41,2.0,"INFECTION OF AMPUTATION STUMP, RIGHT UPPER EXTREMITY"
T883XXS,T88.3XXS,2.0,"MALIGNANT HYPERTHERMIA DUE TO ANESTHESIA, SEQUELA"
V053,V05.3,1.0,NEED FOR PROPHYLACTIC VACCINATION AND INOCULATION AGAINST VIRALHEPATITIS
V1048,V10.48,1.0,PERSONAL HISTORY OF MALIGNANT NEOPLASM OF EPIDIDYMIS
S82043D,S82.043D,2.0,"DISPLACED COMMINUTED FRACTURE OF UNSPECIFIED PATELLA, SUBSEQUENT ENCOUNTER FOR CLOSED FRACTURE WITH ROUTINE HEALING"
S82409M,S82.409M,2.0,"UNSPECIFIED FRACTURE OF SHAFT OF UNSPECIFIED FIBULA, SUBSEQUENT ENCOUNTER FOR OPEN FRACTURE TYPE I OR II WITH NONUNION"
S82435A,S82.435A,2.0,"NONDISPLACED OBLIQUE FRACTURE OF SHAFT OF LEFT FIBULA, INITIAL ENCOUNTER FOR CLOSED FRACTURE"
S83104S,S83.104S,2.0,"UNSPECIFIED DISLOCATION OF RIGHT KNEE, SEQUELA"
S86219A,S86.219A,2.0,"STRAIN OF MUSCLE(S) AND TENDON(S) OF ANTERIOR MUSCLE GROUP AT LOWER LEG LEVEL, UNSPECIFIED LEG, INITIAL ENCOUNTER"
S92416A,S92.416A,2.0,"NONDISPLACED FRACTURE OF PROXIMAL PHALANX OF UNSPECIFIED GREAT TOE, INITIAL ENCOUNTER FOR CLOSED FRACTURE"
S92909D,S92.909D,2.0,"UNSPECIFIED FRACTURE OF UNSPECIFIED FOOT, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING"
S99921A,S99.921A,2.0,"UNSPECIFIED INJURY OF RIGHT FOOT, INITIAL ENCOUNTER"
T17290A,T17.290A,2.0,"OTHER FOREIGN OBJECT IN PHARYNX CAUSING ASPHYXIATION, INITIAL ENCOUNTER"
T23429A,T23.429A,2.0,"CORROSION OF UNSPECIFIED DEGREE OF UNSPECIFIED SINGLE FINGER (NAIL) EXCEPT THUMB, INITIAL ENCOUNTER"
T24309S,T24.309S,2.0,"BURN OF THIRD DEGREE OF UNSPECIFIED SITE OF UNSPECIFIED LOWER LIMB, EXCEPT ANKLE AND FOOT, SEQUELA"
37926,379.26,1.0,VITREOUS PROLAPSE
43811,438.11,1.0,"LATE EFFECT OF CEREBROVASCULAR DISEASE, SPEECH AND LANGUAGE DEFICITS,APHASIA"
4420,442.0,1.0,ANEURYSM OF ARTERY OF UPPER EXTREMITY
45374,453.74,1.0,CHRONIC VENOUS EMBOLISM AND THROMBOSIS OF AXILLARY VEINS
47833,478.33,1.0,PARTIAL BILATERAL PARALYSIS OF VOCAL CORDS
M10471,M10.471,2.0,"OTHER SECONDARY GOUT, RIGHT ANKLE AND FOOT"
M1851,M18.51,2.0,"OTHER UNILATERAL SECONDARY OSTEOARTHRITIS OF FIRST CARPOMETACARPAL JOINT, RIGHT HAND"
M1A0210,M1A.0210,2.0,"IDIOPATHIC CHRONIC GOUT, RIGHT ELBOW, WITHOUT TOPHUS (TOPHI)"
M2392,M23.92,2.0,UNSPECIFIED INTERNAL DERANGEMENT OF LEFT KNEE
M24319,M24.319,2.0,"PATHOLOGICAL DISLOCATION OF UNSPECIFIED SHOULDER, NOT ELSEWHERE CLASSIFIED"
M2606,M26.06,2.0,MICROGENIA
M3483,M34.83,2.0,SYSTEMIC SCLEROSIS WITH POLYNEUROPATHY
M361,M36.1,2.0,ARTHROPATHY IN NEOPLASTIC DISEASE
M41117,M41.117,2.0,"JUVENILE IDIOPATHIC SCOLIOSIS, LUMBOSACRAL REGION"
A0472,A04.72,2.0,"ENTEROCOLITIS DUE TO CLOSTRIDIUM DIFFICILE, NOT SPECIFIED AS RECURRENT"
A240,A24.0,2.0,GLANDERS
A5903,A59.03,2.0,TRICHOMONAL CYSTITIS AND URETHRITIS
B0082,B00.82,2.0,HERPES SIMPLEX MYELITIS
B0224,B02.24,2.0,POSTHERPETIC MYELITIS
B484,B48.4,2.0,PENICILLOSIS
S00212A,S00.212A,2.0,"ABRASION OF LEFT EYELID AND PERIOCULAR AREA, INITIAL ENCOUNTER"
S02411B,S02.411B,2.0,"LEFORT I FRACTURE, INITIAL ENCOUNTER FOR OPEN FRACTURE"
S0340XA,S03.40XA,2.0,"SPRAIN OF JAW, UNSPECIFIED SIDE, INITIAL ENCOUNTER"
S0432XD,S04.32XD,2.0,"INJURY OF TRIGEMINAL NERVE, LEFT SIDE, SUBSEQUENT ENCOUNTER"
S52501M,S52.501M,2.0,"UNSPECIFIED FRACTURE OF THE LOWER END OF RIGHT RADIUS, SUBSEQUENT ENCOUNTER FOR OPEN FRACTURE TYPE I OR II WITH NONUNION"
S52592K,S52.592K,2.0,"OTHER FRACTURES OF LOWER END OF LEFT RADIUS, SUBSEQUENT ENCOUNTER FOR CLOSED FRACTURE WITH NONUNION"
O30112,O30.112,2.0,"TRIPLET PREGNANCY WITH TWO OR MORE MONOCHORIONIC FETUSES, SECOND TRIMESTER"
O365920,O36.5920,2.0,"MATERNAL CARE FOR OTHER KNOWN OR SUSPECTED POOR FETAL GROWTH, SECOND TRIMESTER, NOT APPLICABLE OR UNSPECIFIED"
O99330,O99.330,2.0,"SMOKING (TOBACCO) COMPLICATING PREGNANCY, UNSPECIFIED TRIMESTER"
O99844,O99.844,2.0,BARIATRIC SURGERY STATUS COMPLICATING CHILDBIRTH
G5713,G57.13,2.0,"MERALGIA PARESTHETICA, BILATERAL LOWER LIMBS"
G5720,G57.20,2.0,"LESION OF FEMORAL NERVE, UNSPECIFIED LOWER LIMB"
G8194,G81.94,2.0,"HEMIPLEGIA, UNSPECIFIED AFFECTING LEFT NONDOMINANT SIDE"
H18233,H18.233,2.0,"SECONDARY CORNEAL EDEMA, BILATERAL"
M10432,M10.432,2.0,"OTHER SECONDARY GOUT, LEFT WRIST"
M174,M17.4,2.0,OTHER BILATERAL SECONDARY OSTEOARTHRITIS OF KNEE
M1A0511,M1A.0511,2.0,"IDIOPATHIC CHRONIC GOUT, RIGHT HIP, WITH TOPHUS (TOPHI)"
M21079,M21.079,2.0,"VALGUS DEFORMITY, NOT ELSEWHERE CLASSIFIED, UNSPECIFIED ANKLE"
M2340,M23.40,2.0,"LOOSE BODY IN KNEE, UNSPECIFIED KNEE"
M2400,M24.00,2.0,LOOSE BODY IN UNSPECIFIED JOINT
M25452,M25.452,2.0,"EFFUSION, LEFT HIP"
M25849,M25.849,2.0,"OTHER SPECIFIED JOINT DISORDERS, UNSPECIFIED HAND"
M270,M27.0,2.0,DEVELOPMENTAL DISORDERS OF JAWS
K265,K26.5,2.0,CHRONIC OR UNSPECIFIED DUODENAL ULCER WITH PERFORATION
7313,731.3,1.0,MAJOR OSSEOUS DEFECTS
73390,733.90,1.0,"DISORDER OF BONE AND CARTILAGE, UNSPECIFIED"
73741,737.41,1.0,KYPHOSIS ASSOCIATED WITH OTHER CONDITIONS
7439,743.9,1.0,"UNSPECIFIED ANOMALY OF EYE, CONGENITAL"
80506,805.06,1.0,CLOSED FRACTURE OF SIXTH CERVICAL VERTEBRA
80705,807.05,1.0,CLOSED FRACTURE OF FIVE RIBS
8209,820.9,1.0,"FRACTURE OF UNSPECIFIED PART OF NECK OF FEMUR, OPEN"
Q330,Q33.0,2.0,CONGENITAL CYSTIC LUNG
Q780,Q78.0,2.0,OSTEOGENESIS IMPERFECTA
R10817,R10.817,2.0,GENERALIZED ABDOMINAL TENDERNESS
R222,R22.2,2.0,"LOCALIZED SWELLING, MASS AND LUMP, TRUNK"
R93429,R93.429,2.0,ABNORMAL RADIOLOGIC FINDINGS ON DIAGNOSTIC IMAGING OF UNSPECIFIED KIDNEY
S0180XA,S01.80XA,2.0,"UNSPECIFIED OPEN WOUND OF OTHER PART OF HEAD, INITIAL ENCOUNTER"
S61401D,S61.401D,2.0,"UNSPECIFIED OPEN WOUND OF RIGHT HAND, SUBSEQUENT ENCOUNTER"
S61511D,S61.511D,2.0,"LACERATION WITHOUT FOREIGN BODY OF RIGHT WRIST, SUBSEQUENT ENCOUNTER"
S61552A,S61.552A,2.0,"OPEN BITE OF LEFT WRIST, INITIAL ENCOUNTER"
S62611A,S62.611A,2.0,"DISPLACED FRACTURE OF PROXIMAL PHALANX OF LEFT INDEX FINGER, INITIAL ENCOUNTER FOR CLOSED FRACTURE"
S62656B,S62.656B,2.0,"NONDISPLACED FRACTURE OF MIDDLE PHALANX OF RIGHT LITTLE FINGER, INITIAL ENCOUNTER FOR OPEN FRACTURE"
S6290XB,S62.90XB,2.0,"UNSPECIFIED FRACTURE OF UNSPECIFIED WRIST AND HAND, INITIAL ENCOUNTER FOR OPEN FRACTURE"
S41119A,S41.119A,2.0,"LACERATION WITHOUT FOREIGN BODY OF UNSPECIFIED UPPER ARM, INITIAL ENCOUNTER"
S41152S,S41.152S,2.0,"OPEN BITE OF LEFT UPPER ARM, SEQUELA"
S42262A,S42.262A,2.0,"DISPLACED FRACTURE OF LESSER TUBEROSITY OF LEFT HUMERUS, INITIAL ENCOUNTER FOR CLOSED FRACTURE"
S42352G,S42.352G,2.0,"DISPLACED COMMINUTED FRACTURE OF SHAFT OF HUMERUS, LEFT ARM, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH DELAYED HEALING"
